Ds,Da,rate_bits
0.32050632911392407,1.0829113924050635,1.4130517103058977
0.32050632911392407,1.1151898734177217,1.4130517103058977
0.32050632911392407,1.1474683544303799,1.4130517103058977
0.32050632911392407,1.1797468354430383,1.4130517103058977
0.32050632911392407,1.2120253164556964,1.4130517103058977
0.32050632911392407,1.2443037974683546,1.4130517103058977
0.32050632911392407,1.276582278481013,1.4130517103058977
0.32050632911392407,1.3088607594936712,1.4130517103058977
0.32050632911392407,1.3411392405063294,1.4130517103058977
0.32050632911392407,1.3734177215189876,1.4130517103058977
0.32050632911392407,1.4056962025316457,1.4130517103058977
0.32050632911392407,1.4379746835443041,1.4130517103058977
0.32050632911392407,1.4702531645569623,1.4130517103058977
0.32050632911392407,1.5025316455696205,1.4130517103058977
0.32050632911392407,1.5348101265822789,1.4130517103058977
0.32050632911392407,1.567088607594937,1.4130517103058977
0.32050632911392407,1.5993670886075952,1.4130517103058977
0.32050632911392407,1.6316455696202534,1.4130517103058977
0.32050632911392407,1.6639240506329116,1.4130517103058977
0.32050632911392407,1.69620253164557,1.4130517103058977
0.32050632911392407,1.7284810126582282,1.4130517103058977
0.32050632911392407,1.7607594936708864,1.4130517103058977
0.32050632911392407,1.7930379746835448,1.4130517103058977
0.32050632911392407,1.825316455696203,1.4130517103058977
0.32050632911392407,1.857594936708861,1.4130517103058977
0.32050632911392407,1.8898734177215193,1.4130517103058977
0.32050632911392407,1.9221518987341775,1.4130517103058977
0.32050632911392407,1.9544303797468359,1.4130517103058977
0.32050632911392407,1.986708860759494,1.4130517103058977
0.32050632911392407,2.018987341772152,1.4130517103058977
0.32050632911392407,2.0512658227848104,1.4130517103058977
0.32050632911392407,2.0835443037974684,1.4130517103058977
0.32050632911392407,2.1158227848101268,1.4130517103058977
0.32050632911392407,2.148101265822785,1.4130517103058977
0.32050632911392407,2.180379746835443,1.4130517103058977
0.32050632911392407,2.2126582278481015,1.4130517103058977
0.32050632911392407,2.2449367088607595,1.4130517103058977
0.32050632911392407,2.277215189873418,1.4130517103058977
0.32050632911392407,2.3094936708860763,1.4130517103058977
0.32050632911392407,2.3417721518987342,1.4130517103058977
0.32050632911392407,2.3740506329113926,1.4130517103058977
0.32050632911392407,2.406329113924051,1.4130517103058977
0.32050632911392407,2.438607594936709,1.4130517103058977
0.32050632911392407,2.4708860759493674,1.4130517103058977
0.32050632911392407,2.5031645569620258,1.4130517103058977
0.32050632911392407,2.5354430379746837,1.4130517103058977
0.32050632911392407,2.567721518987342,1.4130517103058977
0.32050632911392407,2.6,1.4130517103058977
0.33734177215189876,0.05,2.6609640474436813
0.33734177215189876,0.08227848101265824,2.3016705150180052
0.33734177215189876,0.11455696202531647,2.06293147799063
0.33734177215189876,0.1468354430379747,1.8838639239684465
0.33734177215189876,0.17911392405063292,1.7405253001162915
0.33734177215189876,0.21139240506329116,1.6210022752952065
0.33734177215189876,0.2436708860759494,1.5184971037411008
0.33734177215189876,0.2759493670886076,1.4287622591437694
0.33734177215189876,0.30822784810126586,1.3489654404910614
0.33734177215189876,0.3405063291139241,1.2771232402539203
0.33734177215189876,0.3727848101265823,1.2585921931431479
0.33734177215189876,0.40506329113924056,1.2585921931431479
0.33734177215189876,0.4373417721518988,1.2585921931431479
0.33734177215189876,0.469620253164557,1.2585921931431479
0.33734177215189876,0.5018987341772153,1.2585921931431479
0.33734177215189876,0.5341772151898735,1.2585921931431479
0.33734177215189876,0.5664556962025318,1.2585921931431479
0.33734177215189876,0.59873417721519,1.2585921931431479
0.33734177215189876,0.6310126582278482,1.2585921931431479
0.33734177215189876,0.6632911392405065,1.2585921931431479
