Ds,x,g_x
0.5,0.17500000000000027,0.5000000433087894
0.5,0.20000000000000018,0.50000004934383
0.5,0.2250000000000001,0.500000055319617
0.5,0.25,0.5000000612296657
0.5,0.27500000000000036,0.5000000670677955
0.5,0.30000000000000027,0.5000000728281532
0.5,0.3250000000000002,0.5000000785052313
0.5,0.3500000000000001,0.5000000840938861
0.5,0.375,0.5000000895893496
0.5,0.40000000000000036,0.5000000949872406
0.5,0.42500000000000027,0.5000001002835712
0.5,0.4500000000000002,0.5000001054747513
0.5,0.4750000000000001,0.500000110557589
0.5,0.5,0.5000001155292892
0.5,0.5250000000000004,0.5000001203874496
0.5,0.5500000000000003,0.5000001251300528
0.5,0.5750000000000002,0.5000001297554585
0.5,0.6000000000000001,0.5000001342623918
0.5,0.625,0.5000001386499305
0.5,0.6500000000000004,0.5000001429174915
0.5,0.6750000000000003,0.5000001470648141
0.5,0.7000000000000002,0.5000001510919443
0.5,0.7250000000000001,0.500000154999217
0.5,0.75,0.5000001587872381
0.5,0.7750000000000004,0.5000001624568658
0.5,0.8000000000000003,0.5000001660091925
0.5,0.8250000000000002,0.5000001694455252
0.5,0.8500000000000001,0.5000001727673675
0.5,0.875,0.500000175976401
0.5,0.9000000000000004,0.5000001790744676
0.5,0.9250000000000003,0.5000001820635515
0.5,0.9500000000000002,0.5000001849457628
0.5,0.9750000000000001,0.5000001877233209
0.5,1.0,0.500000190398539
0.5,1.0250000000000004,0.5000001929738094
0.5,1.0499999999999998,0.5000001954515894
0.5,1.0750000000000002,0.5000001978343884
0.5,1.1000000000000005,0.5000002001247554
0.5,1.125,0.5000002023252675
0.5,1.1500000000000004,0.5000002044385194
0.5,1.1749999999999998,0.5000002064671137
0.5,1.2000000000000002,0.5000002084136517
0.5,1.2250000000000005,0.5000002102807254
0.5,1.25,0.5000002120709099
0.5,1.2750000000000004,0.5000002137867573
0.5,1.2999999999999998,0.5000002154307899
0.5,1.3250000000000002,0.5000002170054952
0.5,1.3500000000000005,0.500000218513322
0.5,1.375,0.500000219956675
0.5,1.4000000000000004,0.5000002213379121
0.5,1.4249999999999998,0.5000002226593414
0.5,1.4500000000000002,0.5000002239232184
0.5,1.4750000000000005,0.5000002251317442
0.5,1.5,0.5000002262870634
0.5,1.5250000000000004,0.5000002273912633
0.5,1.5499999999999998,0.5000002284463725
0.5,1.5750000000000002,0.5000002294543608
0.5,1.6000000000000005,0.5000002304171386
0.5,1.625,0.5000002313365564
0.5,1.6500000000000004,0.5000002322144054
0.5,1.6749999999999998,0.5000002330524179
0.5,1.7000000000000002,0.5000002338522677
0.5,1.7250000000000005,0.5000002346155703
0.5,1.75,0.5000002353438846
0.5,1.7750000000000004,0.5000002360387131
0.5,1.8000000000000007,0.5000002367015032
0.5,1.8250000000000002,0.5000002373336484
0.5,1.8500000000000005,0.5000002379364893
0.5,1.875,0.500000238511315
0.5,1.9000000000000004,0.5000002390593645
0.5,1.9250000000000007,0.5000002395818277
0.5,1.9500000000000002,0.5000002400798471
0.5,1.9750000000000005,0.500000240554519
0.5,2.0,0.500000241006895
0.5,2.0250000000000004,0.5000002414379834
0.5,2.0500000000000007,0.5000002418487504
0.5,2.075,0.5000002422401217
0.5,2.1000000000000005,0.5000002426129841
0.5,2.125,0.5000002429681865
0.5,2.1500000000000004,0.500000243306541
0.5,2.1750000000000007,0.5000002436288252
0.5,2.2,0.5000002439357825
0.5,2.2250000000000005,0.5000002442281238
0.5,2.25,0.5000002445065287
0.5,2.2750000000000004,0.5000002447716468
0.5,2.3000000000000007,0.5000002450240991
0.5,2.325,0.5000002452644783
0.5,2.3500000000000005,0.5000002454933506
0.5,2.375,0.5000002457112573
0.5,2.4000000000000004,0.5000002459187144
0.5,2.4250000000000007,0.500000246116215
0.5,2.45,0.5000002463042293
0.5,2.4750000000000005,0.5000002464832064
0.5,2.5,0.5000002466535746
0.5,2.5250000000000004,0.5000002468157422
0.5,2.5500000000000007,0.5000002469700993
0.5,2.575,0.5000002471170172
0.5,2.6000000000000005,0.5000002472568505
0.5,2.625,0.5000002473899372
0.5,2.6500000000000004,0.5000002475165992
0.5,2.6750000000000007,0.5000002476371437
0.5,2.7,0.5000002477518635
0.5,2.7250000000000005,0.5000002478610374
0.5,2.75,0.5000002479649311
0.5,2.7750000000000004,0.5000002480637983
0.5,2.8000000000000007,0.50000024815788
0.5,2.825,0.5000002482474064
0.5,2.8500000000000005,0.5000002483325964
0.5,2.875,0.5000002484136586
0.5,2.9000000000000004,0.5000002484907918
0.5,2.9250000000000007,0.5000002485641855
0.5,2.95,0.5000002486340196
0.5,2.9750000000000005,0.5000002487004661
0.5,3.0,0.5000002487636884
0.39,-3.0,0.3036504580787449
0.39,-2.975,0.3036950614107729
0.39,-2.95,0.30374194339535426
0.39,-2.925,0.30379121999933756
0.39,-2.9,0.3038430130448391
0.39,-2.875,0.3038974504999651
0.39,-2.85,0.3039546667834467
0.39,-2.825,0.30401480308379875
0.39,-2.8,0.3040780076936318
0.39,-2.775,0.3041444363597685
0.39,-2.75,0.30421425264983554
0.39,-2.725,0.30428762833602246
0.39,-2.7,0.30436474379671746
0.39,-2.675,0.30444578843674996
0.39,-2.65,0.3045309611269879
0.39,-2.625,0.30462047066405407
0.39,-2.6,0.30471453625094164
0.39,-2.575,0.30481338799932406
0.39,-2.55,0.30491726745436615
0.39,-2.525,0.30502642814285175
